model,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,weight_kg,power_kw,cyl_factor,am_label,vs_label,speed_category,predicted,residuals,std_resid,is_outlier,hat_value,cooks_d
Mazda RX4,21,6,160,110,3.9,2.62,16.46,0,1,4,4,1188.432,82.06,6-cyl,Manual,V-shaped,Medium,23.28261064680862,-2.282610646808645,-0.7661676545050702,FALSE,0.04326895587037588,0.013274072337955026
Mazda RX4 Wag,21,6,160,110,3.9,2.875,17.02,0,1,4,4,1304.1,82.06,6-cyl,Manual,V-shaped,Medium,21.91977039576434,-0.9197703957643347,-0.3074305057153557,FALSE,0.03519676562838835,0.0017239629529522305
Datsun 710,22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,1052.352,69.378,4-cyl,Manual,Straight,Slow,24.885952118625426,-2.0859521186254195,-0.705752491738887,FALSE,0.05837572519905488,0.015439366886521312
Hornet 4 Drive,21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,1458.324,82.06,6-cyl,Automatic,Straight,Slow,20.102650061038627,1.2973499389613734,0.4327511433920401,FALSE,0.03125017057660248,0.003020558182351895
Hornet Sportabout,18.7,8,360,175,3.15,3.44,17.02,0,0,3,2,1560.384,130.55,8-cyl,Automatic,V-shaped,Medium,18.900143957176027,-0.20014395717602299,-0.06681878865022758,FALSE,0.032921821281005514,7.599577873282312e-5
Valiant,18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,1569.456,78.33,6-cyl,Automatic,Straight,Slow,18.793254525721572,-0.6932545257215673,-0.23148309322783248,FALSE,0.0332355137588688,9.210649723663064e-4
Duster 360,14.3,8,360,245,3.21,3.57,15.84,0,0,3,4,1619.352,182.77,8-cyl,Automatic,V-shaped,Fast,18.20536265272208,-3.905362652722075,-1.3055221628040345,FALSE,0.03544264864205188,0.031313860765130236
Merc 240D,24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,1446.9840000000002,46.252,4-cyl,Automatic,Straight,Slow,20.236261850356694,4.163738149643307,1.3888970902825208,FALSE,0.031275020007582525,0.031139184727686217
Merc 230,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,1428.84,70.87,4-cyl,Automatic,Straight,NA,20.4500407132656,2.3499592867344017,0.7839268652784396,FALSE,0.03140238387077513,0.009961857447854858
Merc 280,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,1560.384,91.758,6-cyl,Automatic,Straight,Slow,18.900143957176027,0.29985604282397704,0.10010803140725152,FALSE,0.032921821281005514,1.7058078779475484e-4
Merc 280C,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,1560.384,91.758,6-cyl,Automatic,Straight,Slow,18.900143957176027,-1.1001439571760216,-0.3672870647536895,FALSE,0.032921821281005514,0.0022961673662913996
Merc 450SE,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,1846.1520000000005,134.28,8-cyl,Automatic,V-shaped,Medium,15.533126866360739,0.8668731336392638,0.29288650858200455,FALSE,0.055751793758281196,0.0025324531207287777
Merc 450SL,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,1691.928,134.28,8-cyl,Automatic,V-shaped,Medium,17.35024720108645,-0.05024720108644555,-0.01683789263138834,FALSE,0.0401086136618701,5.923263222517622e-6
Merc 450SLC,15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,1714.608,134.28,8-cyl,Automatic,V-shaped,Medium,17.083023622450316,-1.883023622450315,-0.6315996867000846,FALSE,0.04192051623943165,0.008727279764186809
